"sites","mean"
"cook_islands_2",25.7633482608189
"cook_islands_3",27.1216971051654
"cook_islands_sp_1",28.3971543646329
"costa_rica_3",28.4911877578869
"costa_rica_4",28.3803745010727
"costa_rica_5",28.3803745010727
"costa_rica_6",28.3916149379651
"costa_rica_7",28.5041313542202
"cuba_1",28.0179758139795
"cuba_2",27.9519106555742
"curacao_1",27.3627239124929
"curacao_2",27.4073871281426
"curacao_3",27.3782222832411
"curacao_4",27.4762042004856
"cverde_1",24.1393176383805
"dampier_archipelago_1",26.419777626798
"dampier_archipelago_2",26.4468395101541
"dampier_archipelago_3",26.3958427971321
"darwin_(nt)_1",28.7434111759148
"eilat_1",24.0370805422813
"elizabeth_and_middleton_reefs_1",22.0942054139562
"elizabeth_and_middleton_reefs_2",22.0043040141871
"fiji_1",27.0061576781633
"fiji_2",27.5986521847277
"fiji_3",26.9602211856111
"flores_1",28.880054120819
"flores_2",28.8258427267921
"flores_3",28.7365300271493
"florida_keys_1",26.7252513074927
"florida_keys_2",26.6664588814367
"florida_keys_3",26.7536083787582
"florida_keys_4",26.342655478537
"french_polynesia_1",27.4068422077258
"french_polynesia_11",25.3538603328274
"french_polynesia_12",25.3493805903072
"french_polynesia_13",27.2093531638874
"french_polynesia_14",27.5763301473327
"french_polynesia_15",27.6285207608443
"french_polynesia_16",27.578739806569
"french_polynesia_19",27.6430004820766
"french_polynesia_2",27.3561412214841
"french_polynesia_20",27.7307770594318
"french_polynesia_21",27.7706401376839
"french_polynesia_3",27.5782578714837
"french_polynesia_4",27.7423570022917
"french_polynesia_5",27.214057422546
"french_polynesia_6",27.5114177748773
"french_polynesia_7",27.7604895202119
"french_polynesia_8",27.3961494425954
"french_polynesia_9",27.5874829464648
"galapagos_1",23.0602513968226
"galapagos_10",25.4890410605031
"galapagos_11",25.8387289052464
"galapagos_12",24.6694545416816
"galapagos_13",24.6710536602685
"galapagos_2",23.4437727499896
"galapagos_3",23.381226188643
"galapagos_4",23.0144463645668
"galapagos_5",23.7799200463269
"galapagos_6",24.2960153336332
"galapagos_7",23.755582715961
"galapagos_8",23.7361303535244
"galapagos_9",23.9004321218451
"grand_cayman_1",28.0317655194628
"guarapari_1",24.4118751445449
"guarapari_2",24.9035646092853
"guatemala_1",28.4956236533241
"hawaii_1",24.6290301232061
"hawaii_10",24.7409742424287
"hawaii_11",24.7334495953897
"hawaii_12",24.9570667986541
"hawaii_2",25.2958537704451
"hawaii_3",24.9571188350105
"hawaii_4",25.2708647332082
"hawaii_5",25.0600432493078
"hawaii_6",25.025771615278
"hawaii_7",24.6925870596644
"hawaii_8",24.813131973229
"hawaii_9",24.8989972425839
"honduras_1",27.9927321289873
"hong_kong_island_1",24.7949036058173
"ilha_gde_1",23.8363850187237
"ilha_gde_2",24.0716834804706
"ilha_gde_3",24.2004731743385
"ilha_gde_4",23.8601144945243
"ilha_gde_5",24.0643395531478
"isabel_mex_tep_1",26.932904649277
"jalisco_mex_tep_1",27.5531346414071
"jalisco_mex_tep_2",27.1563411176792
"jalisco_mex_tep_3",27.2705525150696
"jalisco_mex_tep_4",27.4450541456584
"kai_ketjil_1",28.2861247725972
"kai_ketjil_2",28.2781099902317
"kimberley_1",28.2984111886165
"l_santos_1",23.6473598078073
"las_perlas_1",27.4607606033375
"las_perlas_2",27.4394161662032
"las_perlas_3",27.3998077283945
"las_perlas_4",27.3665656500291
"las_perlas_7",27.4589287427796
"las_perlas_8",27.4490410312765
"lord_howe_island_1",21.380519798003
"lord_howe_island_2",21.30228868215
"machalilla_1",24.4538548705612
"machalilla_2",24.7043477300746
"machalilla_4",24.5717190500157
"malpelo_1",26.6836029112274
"marquesas_islands_1",27.7175459104456
"marquesas_islands_2",27.7812425440008
"mexico_alacranes_1",26.6007277602564
"mexico_caribbean_1",27.7853663038189
"mexico_caribbean_10",27.8728252141395
"mexico_caribbean_11",27.8820831658153
"mexico_caribbean_12",28.0128498631004
"mexico_caribbean_13",27.7933263172847
"mexico_caribbean_2",27.8718558966395
"mexico_caribbean_3",27.754287437698
"mexico_caribbean_4",27.7706511028495
"mexico_caribbean_5",27.7304703418945
"mexico_caribbean_6",27.7614342207977
"mexico_caribbean_7",27.8315409877606
"mexico_caribbean_8",27.7623378178115
"mexico_caribbean_9",27.8531127419947
"michoacan_mex_tep_1",28.015993355399
"michoacan_mex_tep_2",28.254933653891
"michoacan_mex_tep_3",28.3702019877397
"minerva_reefs_1",24.5109194790024
"minerva_reefs_2",24.3496380061205
"mornington_island_3",27.5679128611336
"mornington_island_4",27.6093969762913
"mornington_island_5",27.7203526058176
"mozambique_1",25.9789232904783
"mozambique_11",26.3048816724779
"mozambique_13",26.2945393983271
"mozambique_14",26.2979074266106
"mozambique_2",26.0184167264456
"mozambique_4",25.5819764079818
"mozambique_9",26.2304429976598
"neb_1",25.9184714878245
"neb_2",25.9510262432913
"neb_3",25.9752595505605
"new_caledonia_1",26.0578663362208
"new_caledonia_10",24.6059989020441
"new_caledonia_11",24.9857770809077
"new_caledonia_12",25.012233831274
"new_caledonia_2",26.1847146322537
"new_caledonia_3",24.7604430137041
"new_caledonia_4",24.8447831212364
"new_caledonia_5",25.9293778399648
"new_caledonia_6",25.8688329595334
"new_caledonia_7",25.9223926226646
"new_caledonia_8",25.8077622812653
"new_caledonia_9",25.6693285605732
"nicaragua_1",27.9408564436997
"nicaragua_tep_1",27.5308044220506
"nicaragua_tep_2",27.4088931433604
"nicaragua_tep_3",27.3908482193294
"nicaragua_tep_4",27.3908482193294
"nicaragua_tep_5",27.396494460132
"ningaloo_marine_park_1",25.5990218849851
"ningaloo_marine_park_2",25.6301746634769
"ningaloo_marine_park_3",24.7910235353785
"ningaloo_marine_park_4",24.7006620974295
"ningaloo_marine_park_5",24.7006620974295
"ningaloo_marine_park_6",25.7062014896272
"ningaloo_marine_park_7",24.8865629725754
"ningaloo_marine_park_8",24.9816314388079
"niue_1",26.6477540492489
"norfolk_island_1",21.3390712659696
"norfolk_island_2",21.392417365071
"noronha_1",27.3369216161646
"north_west_shelf_1",28.6755661792066
"north_west_shelf_10",27.9406565470868
"north_west_shelf_11",27.9587698985556
"north_west_shelf_12",27.869358626279
"north_west_shelf_13",27.869358626279
"north_west_shelf_14",27.0441368459219
"north_west_shelf_15",26.815155485243
"north_west_shelf_18",26.7109550379976
"north_west_shelf_19",26.5458701615266
"north_west_shelf_20",26.5345941655346
"north_west_shelf_22",26.4648296433498
"north_west_shelf_24",26.236434271145
"north_west_shelf_25",26.2812288833735
"north_west_shelf_26",26.2108099301308
"north_west_shelf_27",26.1747009615778
"north_west_shelf_28",26.1070366553383
"north_west_shelf_29",26.0351500156022
"north_west_shelf_3",28.6002211466285
"north_west_shelf_31",25.9490273523696
"north_west_shelf_32",25.7422885664974
"north_west_shelf_33",25.5278553983599
"north_west_shelf_4",28.6188438291226
"north_west_shelf_6",28.6722666290216
"north_west_shelf_7",28.6638794269123
"north_west_shelf_8",27.7386467203514
"north_west_shelf_9",27.756760065553
"northern_coral_sea_1",27.0598323650715
"northern_coral_sea_10",27.1468449662575
"northern_coral_sea_2",27.0536686259058
"northern_coral_sea_3",27.148550870254
"northern_coral_sea_4",27.1528252327951
"northern_coral_sea_5",27.2310782680115
"northern_coral_sea_6",27.188359195797
"northern_coral_sea_7",27.1761932822203
"northern_coral_sea_8",27.1951500108182
"northern_coral_sea_9",27.2469928251561
"northern_gbr_1",26.6639643603322
"northern_gbr_10",27.1627732184996
"northern_gbr_12",26.8110399392453
"northern_gbr_13",26.8358181282829
"northern_gbr_2",26.9404210694387
"northern_gbr_4",26.9820530631325
"northern_gbr_6",26.7112590041897
"northern_gbr_7",26.7450432208125
"northern_gbr_8",26.8720777053039
"northern_territory_(other)_1",27.9895393563779
"northern_territory_(other)_11",27.9871406722304
"northern_territory_(other)_12",27.9877868894679
"northern_territory_(other)_13",28.0012918176682
"northern_territory_(other)_14",28.0393312408263
"northern_territory_(other)_16",27.8860535877558
"northern_territory_(other)_2",27.988164764375
"northern_territory_(other)_3",28.2703169867609
"northern_territory_(other)_5",28.1909413280257
"northern_territory_(other)_6",28.2187096688729
"northern_territory_(other)_8",28.2364862296824
"offshore_shoals_3",28.6566751528152
"offshore_shoals_4",28.6158454775941
"offshore_shoals_5",28.5539697906143
"okinawa_2",25.0936631675879
"palau_1",29.2358865361877
"panama_pacific_1",27.4225213008016
"papua_new_guinea_2",29.7347884883233
"pitcairn_1",24.549364181364
"pitcairn_2",24.6434769881124
"pitcairn_3",24.8638794931368
"pitcairn_4",25.0258455527181
"pualu_kaimeer_1",28.3081291659377
"pulau_jamdena_2",28.3583454960408
"pulau_jamdena_7",28.4058646560368
"pulau_naira_1",28.55016913367
"queensland_(other)_1",25.0441177468441
"queensland_(other)_11",27.4683701435812
"queensland_(other)_15",27.3551691489831
"queensland_(other)_16",27.1812863574493
"queensland_(other)_17",27.1767764963691
"queensland_(other)_18",27.1860453917972
"queensland_(other)_19",27.318589189097
"queensland_(other)_3",27.5850295069967
"queensland_(other)_7",27.9577266321255
"queensland_(other)_9",27.7452978513327
"raja_ampat_1",28.794309354429
"raja_ampat_10",28.8552923562884
"raja_ampat_11",29.2116915576429
"raja_ampat_12",29.2952457962788
"raja_ampat_13",29.0935864255306
"raja_ampat_14",29.0004155680227
"raja_ampat_16",29.1343366585321
"raja_ampat_2",28.769963766894
"raja_ampat_3",28.8380333356241
"raja_ampat_4",28.8045777094194
"raja_ampat_5",28.774741978661
"raja_ampat_6",28.769963766894
"raja_ampat_7",28.7799391208578
"raja_ampat_8",28.8407523770452
"raja_ampat_9",28.8552923562884
"rapa_nui_1",22.6694710058816
"rapa_nui_2",22.6568012389009
"rapa_nui_3",22.6437700314433
"rapa_nui_4",22.6323352074179
"red_sea_2",26.9860673123095
"revillagigedo_1",25.8101856235868
"revillagigedo_2",25.5564698551466
"revillagigedo_3",25.3543586809298
"rio_de_janeiro_1",23.5869107732115
"rocas_1",27.4004101199623
"rongalap_atoll_1",27.9048624968346
"rongalap_atoll_2",27.9064670742407
"rose_atoll_1",28.1711822595419
"salaz_y_gomez_1",22.3669381653492
"salvador_bts_1",26.9762425741256
"salvador_bts_2",26.9690355716634
"samoa_1",28.2629867910947
"samoa_2",28.263682277153
"samoa_3",28.285963231867
"samoa_4",28.2672994922834
"samoa_5",28.1803060450141
"samoa_6",28.8145283785733
"samoa_7",28.4036083451237
"samoa_8",28.2594955398376
"san_andres_1",27.8088822077556
"san_blas_1",27.9221571027123
"santa_catarina_1",22.2636358808453
"santa_catarina_2",22.0268341035206
"santa_catarina_3",22.3099118791039
"santa_catarina_4",21.9569299471731
"santa_catarina_5",22.3719272153923
"santa_catarina_6",22.0597558021545
"seaflower_marine_reserve_1",27.8095503177204
"seaflower_marine_reserve_2",27.8098131819074
"seaflower_marine_reserve_3",27.8057606154961
"seychelles_1",27.8866861281755
"seychelles_2",27.8756729639895
"seychelles_3",26.8424802432316
"seychelles_4",26.7505114566849
"seychelles_5",26.7002239624224
"seychelles_6",26.9040026878867
"society_islands_1",27.7706401376839
"society_islands_2",27.7303471513019
"society_islands_4",27.6178142781587
"society_islands_6",27.6872228270423
"society_islands_7",27.7067326653304
"solomon_1",29.2829566252584
"solomon_10",29.3147802906517
"solomon_11",29.30259518451
"solomon_12",29.2849747030001
"solomon_13",29.2761110559612
"solomon_14",29.295716753664
"solomon_15",29.3076581453572
"solomon_16",29.3339505989476
"solomon_17",29.3501307601344
"solomon_18",29.3879785161682
"solomon_19",29.3269927723645
"solomon_2",29.3167572815343
"solomon_20",29.3777813551068
"solomon_21",29.3672501620432
"solomon_22",29.3496953994525
"solomon_23",29.3321488564273
"solomon_24",29.2926718512344
"solomon_25",29.3469763481082
"solomon_26",29.3421324205555
"solomon_27",29.3135973767409
"solomon_28",29.3512260691882
"solomon_29",29.3325732608223
"solomon_3",29.3248733831784
"solomon_30",29.1649582900458
"solomon_31",29.0929237910978
"solomon_32",29.0592080107916
"solomon_33",28.9166422945254
"solomon_34",29.0434960796695
"solomon_35",29.0929593575092
"solomon_36",29.0720064616543
"solomon_37",29.2163492878583
"solomon_38",29.1788766867229
"solomon_39",29.2460973808564
"solomon_4",29.3340628792135
"solomon_40",29.2895803916363
"solomon_41",29.3008509314204
"solomon_42",29.2546488687739
"solomon_43",29.2991504904213
"solomon_44",29.283578214614
"solomon_45",29.339832311131
"solomon_46",29.3585261452498
"solomon_47",29.3581154500537
"solomon_5",29.3472063486573
"solomon_6",29.3554648397264
"solomon_7",29.3674774258709
"solomon_8",29.3642654930775
"solomon_9",29.3306838794971
"southern_coral_sea_2",24.7248625253926
"southern_coral_sea_3",25.168044361854
"southern_coral_sea_4",25.1828033890155
"southern_coral_sea_5",25.2269189355146
"southern_coral_sea_6",25.6888329175843
"southern_coral_sea_7",25.350746957522
"southern_coral_sea_8",25.6157907708451
"southern_gbr_1",24.2059468836539
"southwestern_caribbean_2",27.7925952162434
"southwestern_caribbean_3",27.7966998075212
"stome_1",27.3857113220867
"stome_2",27.3226280854801
"stome_3",27.2065492323952
"stome_4",27.3133482483888
"stome_5",27.1989588674815
"stpauls_rocks_1",27.3369353107398
"tanzania_1",27.536771020649
"tonga_1",26.0098515606658
"tonga_10",25.5714041484277
"tonga_11",26.5575788190827
"tonga_2",25.977143449564
"tonga_3",25.9111330485683
"tonga_4",26.5534331372899
"tonga_5",27.8301445166096
"tonga_7",25.9271735721977
"tonga_8",25.7077924246856
"trindade_1",25.2524912104027
"trindade_2",25.202537764333
"turks_and_caicos_islands_1",27.1521434282551
"us_virgin_islands_1",27.4810371696623
"whitsundays_2",25.6753279925176
